index_order,index_name,index_short,index_url,etf_name,isin,inception,ter,distribution,yahoo_candidates,fallback_currency
1,MSCI China All Shares Stock Connect Select,All Shares Stock Connect,https://www.justetf.com/de/search.html?search=ETFS&assetClass=class-equity&country=CN&index=MSCI%2BChina%2BAll%2BShares%2BStock%2BConnect%2BSelect,Invesco MSCI China All Shares Stock Connect UCITS ETF,IE00BK80XL30,2021-03-01,0.35,Thesaurierend,MCH1.DE|MCHN.DE|MCHIN.L,EUR
2,S&P China 500,S&P China 500,https://www.justetf.com/de/search.html?search=ETFS&assetClass=class-equity&country=CN&index=S%2526P%2BChina%2B500,KraneShares ICBCCS China S&P 500 UCITS ETF,IE0001QF56M0,2023-10-16,0.55,Thesaurierend,CHIN.DE|CHIN.MI|CHIN.L,EUR
3,FTSE China 30/18 Capped,FTSE China 30/18,https://www.justetf.com/de/search.html?search=ETFS&assetClass=class-equity&country=CN&index=FTSE%2BChina%2B30%252F18%2BCapped,Franklin FTSE China UCITS ETF,IE00BHZRR147,2019-06-04,0.19,Thesaurierend,FLXC.DE|FLRC.L|FLXC.L,EUR
4,MSCI China,MSCI China,https://www.justetf.com/de/search.html?search=ETFS&assetClass=class-equity&country=CN&index=MSCI%2BChina,Xtrackers MSCI China UCITS ETF 1C,LU0514695690,2010-06-24,0.65,Thesaurierend,XCS6.DE|XMCH.S|DMCN.SI,EUR
4,MSCI China,MSCI China,https://www.justetf.com/de/search.html?search=ETFS&assetClass=class-equity&country=CN&index=MSCI%2BChina,HSBC MSCI China UCITS ETF USD,IE00B44T3H88,2011-01-26,0.28,Ausschüttend,H4ZP.DE|HMCH.L|HMCD.L,EUR
4,MSCI China,MSCI China,https://www.justetf.com/de/search.html?search=ETFS&assetClass=class-equity&country=CN&index=MSCI%2BChina,Amundi MSCI China UCITS ETF Acc,LU1841731745,2018-07-05,0.29,Thesaurierend,L4K3.DE|LCCN.PA|LCCN.L,EUR
4,MSCI China,MSCI China,https://www.justetf.com/de/search.html?search=ETFS&assetClass=class-equity&country=CN&index=MSCI%2BChina,iShares MSCI China UCITS ETF USD (Acc),IE00BJ5JPG56,2019-06-20,0.28,Thesaurierend,ICGA.DE|ICHN.AS|ICHN.S,EUR
4,MSCI China,MSCI China,https://www.justetf.com/de/search.html?search=ETFS&assetClass=class-equity&country=CN&index=MSCI%2BChina,iShares MSCI China UCITS ETF USD (Dist),IE00BL977C92,2020-04-27,0.28,Ausschüttend,ICHD.AS|IS4T.DE,USD
4,MSCI China,MSCI China,https://www.justetf.com/de/search.html?search=ETFS&assetClass=class-equity&country=CN&index=MSCI%2BChina,Xtrackers MSCI China UCITS ETF 1D,LU2456436083,2022-04-20,0.28,Ausschüttend,XCS7.DE|XCS7.L,EUR
4,MSCI China,MSCI China,https://www.justetf.com/de/search.html?search=ETFS&assetClass=class-equity&country=CN&index=MSCI%2BChina,HSBC MSCI China UCITS ETF USD (Acc),IE0007P4PBU1,2022-07-12,0.28,Thesaurierend,H4Z6.DE,EUR
5,MSCI China ex A Shares,MSCI China ex A,https://www.justetf.com/de/search.html?search=ETFS&assetClass=class-equity&country=CN&index=MSCI%2BChina%2Bex%2BA%2BShares,Deka MSCI China ex A Shares UCITS ETF,DE000ETFL326,2010-06-29,0.65,Ausschüttend,ETFCHINA.DE|EL46.DE,EUR
6,Dow Jones China Offshore 50,DJ China Offshore 50,https://www.justetf.com/de/search.html?search=ETFS&assetClass=class-equity&country=CN&index=Dow%2BJones%2BChina%2BOffshore%2B50,iShares Dow Jones China Offshore 50 UCITS ETF (DE),DE000A0F5UE8,2006-03-27,0.61,Ausschüttend,DJCHOS50EX.DE|EXXU.DE,EUR
7,FTSE China 50,FTSE China 50,https://www.justetf.com/de/search.html?search=ETFS&assetClass=class-equity&country=CN&index=FTSE%2BChina%2B50,iShares China Large Cap UCITS ETF,IE00B02KXK85,2004-10-21,0.74,Ausschüttend,IQQC.DE|FXC.L|IDFX.L,EUR
7,FTSE China 50,FTSE China 50,https://www.justetf.com/de/search.html?search=ETFS&assetClass=class-equity&country=CN&index=FTSE%2BChina%2B50,iShares China Large Cap UCITS ETF USD (Acc),IE000QOU09J7,2021-09-07,0.74,Thesaurierend,FXAC.AS|7JC0.DE,EUR
8,CSI Overseas China Internet,CSI Overseas China Internet,https://www.justetf.com/de/search.html?search=ETFS&assetClass=class-equity&country=CN&index=CSI%2BOverseas%2BChina%2BInternet,KraneShares CSI China Internet UCITS ETF USD,IE00BFXR7892,2018-11-20,0.75,Thesaurierend,KWBE.DE|KWEB.AS|KWEB.L,EUR
9,MSCI China A,MSCI China A,https://www.justetf.com/de/search.html?search=ETFS&assetClass=class-equity&country=CN&index=MSCI%2BChina%2BA,Amundi MSCI China A UCITS ETF Acc,FR0011720911,2014-08-28,0.35,Thesaurierend,CNAA.DE|CNAA.PA|CNAA.L,EUR
9,MSCI China A,MSCI China A,https://www.justetf.com/de/search.html?search=ETFS&assetClass=class-equity&country=CN&index=MSCI%2BChina%2BA,UBS MSCI China A SF UCITS ETF USD acc,IE00BKFB6K94,2020-02-18,0.24,Thesaurierend,CNUA.DE|CHINA.MI|CNUA.L,EUR
9,MSCI China A,MSCI China A,https://www.justetf.com/de/search.html?search=ETFS&assetClass=class-equity&country=CN&index=MSCI%2BChina%2BA,Amundi Core MSCI China A Swap UCITS ETF Dist,LU2572256746,2023-03-10,0.25,Ausschüttend,C024.DE|AMC024.L,EUR
9,MSCI China A,MSCI China A,https://www.justetf.com/de/search.html?search=ETFS&assetClass=class-equity&country=CN&index=MSCI%2BChina%2BA,Amundi Core MSCI China A Swap UCITS ETF Acc,LU3206583901,2025-12-16,0.25,Thesaurierend,C027.DE,EUR
10,CSI A 500,CSI A 500,https://www.justetf.com/de/search.html?search=ETFS&assetClass=class-equity&country=CN&index=CSI%2BA%2B500,Xtrackers Harvest CSI A500 UCITS ETF 1D,LU1310477036,2016-03-22,0.65,Ausschüttend,AH50.DE|AH50.L,EUR
11,MSCI China A Inclusion,MSCI China A Inclusion,https://www.justetf.com/de/search.html?search=ETFS&assetClass=class-equity&country=CN&index=MSCI%2BChina%2BA%2BInclusion,Xtrackers MSCI China A UCITS ETF 1C,LU0292109856,2007-06-19,0.35,Thesaurierend,XX25.DE|DBX9.DE|DFXI.SI,EUR
11,MSCI China A Inclusion,MSCI China A Inclusion,https://www.justetf.com/de/search.html?search=ETFS&assetClass=class-equity&country=CN&index=MSCI%2BChina%2BA%2BInclusion,iShares MSCI China A UCITS ETF,IE00BQT3WG13,2015-04-08,0.40,Thesaurierend,36BZ.DE|CNYA.AS|CNYA.L,EUR
11,MSCI China A Inclusion,MSCI China A Inclusion,https://www.justetf.com/de/search.html?search=ETFS&assetClass=class-equity&country=CN&index=MSCI%2BChina%2BA%2BInclusion,HSBC MSCI China A Inclusion UCITS ETF,IE00BF4NQ904,2018-07-27,0.30,Ausschüttend,H41K.DE|HMCA.MI|HMCT.L,EUR
12,CSI 300,CSI 300,https://www.justetf.com/de/search.html?search=ETFS&assetClass=class-equity&country=CN&index=CSI%2B300,Xtrackers CSI 300 Swap UCITS ETF 1C,LU0779800910,2012-06-27,0.50,Thesaurierend,XCHA.DE,EUR
12,CSI 300,CSI 300,https://www.justetf.com/de/search.html?search=ETFS&assetClass=class-equity&country=CN&index=CSI%2B300,Xtrackers Harvest CSI 300 UCITS ETF 1D,LU0875160326,2014-01-08,0.65,Ausschüttend,RQFI.DE|RQFI.L,EUR
13,S&P China A 300,S&P China A 300,https://www.justetf.com/de/search.html?search=ETFS&assetClass=class-equity&country=CN&index=S%2526P%2BChina%2BA%2B300,Invesco S&P China A 300 Swap UCITS ETF Acc,IE000K9Z3SF5,2022-05-05,0.35,Thesaurierend,C3AE.DE|C300.MI|C300.L,EUR
14,SSE Science and Technology Innovation Board 50,SSE STAR 50,https://www.justetf.com/de/search.html?search=ETFS&assetClass=class-equity&country=CN&index=SSE%2BScience%2Band%2BTechnology%2BInnovation%2BBoard%2B50,KraneShares ICBCUBS China Technology & Semiconductor STAR 50 Index UCITS ETF USD,IE00BKPJY434,2021-05-26,0.82,Thesaurierend,KSRE.DE|KSTR.L,EUR
15,ChiNext 50 Capped,ChiNext 50,https://www.invesco.com/li/de/financial-products/etfs/invesco-chinext-50-ucits-etf-acc.html,Invesco ChiNext 50 UCITS ETF Acc,IE000AWRDWI7,2024-06-17,0.49,Thesaurierend,CNFY.DE|CN50.L,EUR
