index_name,universe,share_classes,members,etf_name,isin,inception,ter,distribution,index_url,source_url,yahoo_candidates,fallback_currency
MSCI China Tech IMI All Share Stock Connect Filtered,All Shares,"A-Shares, B-Shares, H-Shares, Red Chips, P-Chips, ADRs",97,Amundi MSCI China Tech UCITS ETF EUR Acc,LU1681043912,2009-02-26,0.55,Thesaurierend,https://www.msci.com/,https://www.justetf.com/de/etf-profile.html?isin=LU1681043912,CC1.PA|CC1.MI,EUR
MSCI China Tech IMI All Share Stock Connect Filtered,All Shares,"A-Shares, B-Shares, H-Shares, Red Chips, P-Chips, ADRs",97,Amundi MSCI China Tech UCITS ETF USD Acc,LU1681044050,2010-06-17,0.55,Thesaurierend,https://www.msci.com/,https://www.justetf.com/en/etf-profile.html?isin=LU1681044050,CC1U.PA|CC1U.L,USD
Solactive China Technology,Offshore,"H-Shares, Red Chips, P-Chips, ADRs",92,UBS Solactive China Technology UCITS ETF USD acc,LU2265794276,2021-03-05,0.47,Thesaurierend,https://www.solactive.com/,https://www.justetf.com/en-be/etf-profile.html?isin=LU2265794276,UIC2.DE|CHTU.L|CQQQ.SW,EUR
Solactive China Technology (EUR Hedged),Offshore,"H-Shares, Red Chips, P-Chips, ADRs",92,UBS Solactive China Technology UCITS ETF hEUR acc,LU2265794946,2021-03-05,0.50,Thesaurierend,https://www.solactive.com/,https://www.justetf.com/en-be/etf-profile.html?isin=LU2265794946,UIC1.DE|CITE.MI,EUR
MSCI China Technology All Shares Stock Connect Select,All Shares,"A-Shares, B-Shares, H-Shares, Red Chips, P-Chips, ADRs",100,Invesco MSCI China Technology All Shares Stock Connect UCITS ETF,IE00BM8QS095,2021-06-11,0.49,Thesaurierend,https://www.msci.com/,https://www.justetf.com/en-be/etf-profile.html?isin=IE00BM8QS095,MCHT.L|MCHT.DE,USD
MSCI China Technology Sub-Industries ESG Screened Select Capped,All Shares,"A-Shares, B-Shares, H-Shares, Red Chips, P-Chips, ADRs",168,iShares MSCI China Tech UCITS ETF USD (Acc),IE000NFR7C63,2021-12-08,0.45,Thesaurierend,https://www.msci.com/,https://www.justetf.com/en-be/etf-profile.html?isin=IE000NFR7C63,CBUK.DE|CTEC.AS|CTEC.SW,EUR
MSCI China All Shares Tech Select Screened 100,All Shares,"A-Shares, B-Shares, H-Shares, Red Chips, P-Chips, ADRs",105,Xtrackers Harvest MSCI China Tech 100 UCITS ETF 1C,LU2376679564,2022-03-31,0.44,Thesaurierend,https://www.msci.com/,https://www.justetf.com/en-be/etf-profile.html?isin=LU2376679564,XCTE.DE|XCTE.MI|XCTE.L,EUR
Solactive China Technology (CHF Hedged),Offshore,"H-Shares, Red Chips, P-Chips, ADRs",92,UBS Solactive China Technology UCITS ETF hCHF acc,LU2265794789,2026-04-27,0.50,Thesaurierend,https://www.solactive.com/,https://www.justetf.com/de/etf-profile.html?isin=LU2265794789,CQQQC.SW,CHF
Hang Seng TECH,Offshore,"H-Shares, Red Chips, P-Chips",30,HSBC Hang Seng TECH UCITS ETF HKD,IE00BMWXKN31,2020-12-09,0.50,Thesaurierend,https://www.hsi.com.hk/,https://www.justetf.com/en/etf-profile.html?isin=IE00BMWXKN31,H4ZX.DE|HSTE.L,EUR
CSI Overseas China Internet,Offshore,"H-Shares, Red Chips, P-Chips, ADRs",33,KraneShares CSI China Internet UCITS ETF USD,IE00BFXR7892,2018-11-20,0.75,Thesaurierend,https://www.csindex.com.cn/,https://www.justetf.com/en-be/etf-profile.html?isin=IE00BFXR7892,KWBE.DE|KWEB.AS|KWEB.L,EUR
CSI Overseas China Internet (EUR Hedged),Offshore,"H-Shares, Red Chips, P-Chips, ADRs",31,KraneShares CSI China Internet UCITS ETF EUR Hedged,IE000K3YPA16,2026-04-29,0.75,Thesaurierend,https://www.csindex.com.cn/,https://www.justetf.com/en-be/etf-profile.html?isin=IE000K3YPA16,KWEH.MI|KWEH.L,EUR
CSI Overseas China Internet (GBP Hedged),Offshore,"H-Shares, Red Chips, P-Chips, ADRs",31,KraneShares CSI China Internet UCITS ETF GBP Hedged,IE000CD5SH30,2026-04-29,0.75,Thesaurierend,https://www.csindex.com.cn/,https://www.justetf.com/de/etf-profile.html?isin=IE000CD5SH30,KWBH.L,GBP
SSE Science and Technology Innovation Board 50,Onshore,A-Shares,49,KraneShares ICBCUBS China Technology & Semiconductor STAR 50 Index UCITS ETF USD,IE00BKPJY434,2021-05-26,0.82,Thesaurierend,https://www.sse.com.cn/,https://www.justetf.com/en-be/etf-profile.html?isin=IE00BKPJY434,KSRE.DE|KSTR.L,EUR
ChiNext 50 Capped,Onshore,A-Shares,50,Invesco ChiNext 50 UCITS ETF Acc,IE000AWRDWI7,2024-06-17,0.49,Thesaurierend,https://www.cnindex.com.cn/,https://www.invesco.com/li/de/financial-products/etfs/invesco-chinext-50-ucits-etf-acc.html,CNFY.DE|CN50.L,EUR
